Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
Action for Healthy Communities Society of Edmonton - Mill Woods Public Library & Seniors Association,https://a4hc.ca,"240 King Street West, Suite 101","English, Arabic, Bengali, Gujarati, Hindi, other South Asian languages, Punjabi, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees']",http://maps.google.com/maps?q=240%20King%20Street%20West%2C%20Suite%20101%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaT6L 6W6Telephone: 780-235-2176Languages of service: English, Arabic, Bengali, Gujarati, Hindi, other South Asian languages, Punjabi, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugees"
Action for Healthy Communities Society of Edmonton - Mustard Seed-Mosaic Centre,https://a4hc.ca,reham.hamza@a4hc.ca,"English, Arabic","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for refugees', 'Services for people experiencing gender-based violence']",mailto:reham.hamza@a4hc.ca,"Edmonton, AlbertaT5A 0J8Telephone: 587-341-1126Languages of service: English, Arabic/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for refugeesServices for people experiencing gender-based violence"
Adult Language and Learning,http://www.adultlanguageandlearning.ca,"240 King Street West, Suite 101","English, French, Arabic, Plautdietsch (Mennonite Low German), Russian, Spanish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for refugees']",http://maps.google.com/maps?q=240%20King%20Street%20West%2C%20Suite%20101%20Chatham%20Ontario%20Canada,"Chatham, OntarioN7M 1E7Telephone: 519-354-7424Languages of service: English, French, Arabic, Plautdietsch (Mennonite Low German), Russian, Spanish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingInformal language learningServices for childrenServices for youthServices for refugees"
Adult Language and Learning - CK Public Libraries,http://www.adultlanguageandlearning.ca,info@adultlanguageandlearning.ca,"English, French, Arabic, Mandarin, Plautdietsch (Mennonite Low German), Russian, Spanish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Informal language learning', 'Services for youth', 'Services for refugees']",mailto:info@adultlanguageandlearning.ca,"Chatham, OntarioTelephone: 519-354-7424Languages of service: English, French, Arabic, Mandarin, Plautdietsch (Mennonite Low German), Russian, Spanish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobInformal language learningServices for youthServices for refugees"
Afghan Women’s Counseling and Integration Community Support Organization - Acheve,https://achev.ca/,"50 Burnhamthorpe Road West, Suite 300","English, Afghan, Arabic, Dari, Farsi (Persian), Lebanese, other Middle Eastern languages, Pashto, Persian, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for refugees']",http://maps.google.com/maps?q=50%20Burnhamthorpe%20Road%20West%2C%20Suite%20300%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5B 3C2Telephone: 905-949-0049Languages of service: English, Afghan, Arabic, Dari, Farsi (Persian), Lebanese, other Middle Eastern languages, Pashto, Persian, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for refugees"
Afghan Women’s Counseling and Integration Community Support Organization - Acheve,https://afghanwomen.org/,aniazi@afghanwomen.org,"English, Afghan, Dari, Farsi (Persian), Lebanese, other Middle Eastern languages, Pashto, Persian, Urdu","['General settlement help', 'Get a settlement plan', 'Services available online', 'Services for refugees']",mailto:aniazi@afghanwomen.org,"Mississauga, OntarioTelephone: 905-279-3679Languages of service: English, Afghan, Dari, Farsi (Persian), Lebanese, other Middle Eastern languages, Pashto, Persian, Urdu/General settlement helpGet a settlement planServices available onlineServices for refugees"
Afghan Women’s Counseling and Integration Community Support Organization - Afghan Women's Organization,https://afghanwomen.org/,"747 Don Mills Road, Unit 200","English, Arabic, Dari, Farsi (Persian), Hindi, Kurdish, Pashto, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=747%20Don%20Mills%20Road%2C%20Unit%20200%20North%20York%20Ontario%20Canada,"North York, OntarioM3C 1T2Telephone: 416-422-2225Languages of service: English, Arabic, Dari, Farsi (Persian), Hindi, Kurdish, Pashto, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Afghan Women’s Counseling and Integration Community Support Organization - Afghan Women's Organization Refugee and Immigrant Services,https://afghanwomen.org/,"2555 Eglinton Avenue East, Unit 211","English, Arabic, Dari, Farsi (Persian), Kurdish, Pashto, Persian, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=2555%20Eglinton%20Avenue%20East%2C%20Unit%20211%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1K 5J1Telephone: 416-266-1777Languages of service: English, Arabic, Dari, Farsi (Persian), Kurdish, Pashto, Persian, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Afghan Women’s Counseling and Integration Community Support Organization - Afghan Women's Organization Refugee and Immigrant Services,https://afghanwomen.org/,"150 Consumers Road, Unit 203","English, Arabic, Dari, Kurdish, Pashto, Persian, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=150%20Consumers%20Road%2C%20Unit%20203%20North%20York%20Ontario%20Canada,"North York, OntarioM2J 1P9Telephone: 416-588-3585Languages of service: English, Arabic, Dari, Kurdish, Pashto, Persian, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Afghan Women’s Counseling and Integration Community Support Organization - Afghan Women's Organization Refugee and Immigrant Services,https://afghanwomen.org/,"3050 Confederation Parkway, Suite 302","English, Afghan, Arabic, Dari, Farsi (Persian), Hindi, Lebanese, other African languages, other Middle Eastern languages, Pashto, Persian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=3050%20Confederation%20Parkway%2C%20Suite%20302%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5B 3Z6Telephone: 905-279-3679Languages of service: English, Afghan, Arabic, Dari, Farsi (Persian), Hindi, Lebanese, other African languages, other Middle Eastern languages, Pashto, Persian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for people experiencing gender-based violence"
Afghan Women’s Counseling and Integration Community Support Organization - Ajax Library,https://afghanwomen.org/,55 Harwood Avenue South,"English, Dari, Farsi (Persian), Pashto","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=55%20Harwood%20Avenue%20South%20Ajax%20Ontario%20Canada,"Ajax, OntarioL1S 2H9Telephone: 437-235-2871Languages of service: English, Dari, Farsi (Persian), Pashto/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
